scorer,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000,DLC_resnet50_Single_larva_tracking_modelFeb26shuffle1_200000
bodyparts,Head,Head,Head,Mid,Mid,Mid,Tail,Tail,Tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
77,127.57190704345703,409.2545471191406,0.07430462539196014,145.66632080078125,416.52789306640625,0.0015300288796424866,127.5417709350586,408.3527526855469,0.007209067698568106
78,127.57190704345703,409.2545471191406,0.4196701943874359,145.8405303955078,416.52789306640625,0.020847126841545105,127.6944351196289,408.4291687011719,0.011276988312602043
79,127.4634017944336,409.4066467285156,0.8640565872192383,146.14454650878906,416.52789306640625,0.19101126492023468,127.6944351196289,409.38018798828125,0.037019263952970505
80,127.4634017944336,409.4066467285156,0.9012140035629272,146.4534912109375,415.95947265625,0.3766804039478302,168.8674774169922,414.5346984863281,0.15932637453079224
81,127.4634017944336,409.5163269042969,0.9981226325035095,146.58224487304688,415.95947265625,0.9974749684333801,169.50433349609375,415.60693359375,0.994065523147583
82,127.84197235107422,409.5163269042969,0.9951725602149963,146.72947692871094,415.95947265625,0.9974656105041504,171.32708740234375,415.7520446777344,0.9881287217140198
83,128.18829345703125,409.5163269042969,0.9807970523834229,146.8445587158203,416.05865478515625,0.9448798298835754,172.5779571533203,415.7520446777344,0.7827109098434448
84,128.419921875,409.12530517578125,0.967914342880249,147.23162841796875,416.5616760253906,0.6095114350318909,173.55767822265625,416.1480712890625,0.36564868688583374
85,130.5028839111328,409.12530517578125,0.7454370260238647,148.38185119628906,416.5616760253906,0.22069081664085388,173.6090850830078,416.1480712890625,0.17855016887187958
86,132.3231658935547,409.12530517578125,0.7103307247161865,148.38185119628906,416.5616760253906,0.27783340215682983,173.6090850830078,416.16021728515625,0.198942169547081
87,132.3231658935547,409.4712219238281,0.8899866342544556,148.38185119628906,416.35882568359375,0.866963803768158,173.55767822265625,416.16021728515625,0.6366735100746155
88,132.3231658935547,409.61358642578125,0.4492456614971161,148.17103576660156,416.21405029296875,0.5425844192504883,171.54920959472656,415.3388977050781,0.05942242592573166
89,132.31478881835938,409.61358642578125,0.26176273822784424,147.8582000732422,416.21405029296875,0.46805816888809204,131.1041259765625,411.4783020019531,0.08149749785661697
90,131.7100067138672,409.4712219238281,0.24887900054454803,146.85943603515625,416.21405029296875,0.1403675377368927,129.8024139404297,408.2275085449219,0.020381322130560875
91,129.260498046875,408.4950256347656,0.027057556435465813,146.20997619628906,416.7658386230469,0.008439323864877224,129.8024139404297,408.2275085449219,0.005497629288583994
92,126.93550872802734,407.3411560058594,0.000875876925420016,144.69143676757812,416.7658386230469,0.0002014393248828128,129.8024139404297,408.2275085449219,0.00030420723487623036
93,125.57705688476562,407.3411560058594,0.0022330244537442923,144.0944061279297,416.7658386230469,0.0004111476882826537,166.55911254882812,415.30328369140625,0.002016978105530143
94,125.57705688476562,407.3180847167969,0.9965808987617493,144.0944061279297,415.3945617675781,0.9486048221588135,167.099365234375,416.2522277832031,0.9701710343360901
95,125.51122283935547,407.3180847167969,0.9909620881080627,144.0944061279297,415.360107421875,0.836431622505188,167.099365234375,416.9142761230469,0.8185092210769653
96,125.57705688476562,407.3411560058594,0.9799315333366394,144.32888793945312,415.360107421875,0.5937632322311401,166.89068603515625,416.2522277832031,0.7472397685050964
97,126.30929565429688,407.3465576171875,0.9376055598258972,144.35983276367188,415.3945617675781,0.22724561393260956,166.5675048828125,416.87701416015625,0.4251030683517456
98,126.30929565429688,407.41864013671875,0.9351069927215576,144.35983276367188,415.3945617675781,0.8408346772193909,166.5675048828125,416.87701416015625,0.6552327275276184
